Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Hamza Choudhury,eng ENG,MF,27-031,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
Kasey McAteer,ie IRL,"DF,FW",22-345,3,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Leicester-City
Conor Coady,eng ENG,DF,31-250,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
Thomas Cannon,ie IRL,FW,21-309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
Daniel Iversen,dk DEN,GK,27-105,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
Benjamin Nelson,eng ENG,DF,20-228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
Luke Thomas,eng ENG,"DF,MF",23-144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
Danny Ward,wls WAL,GK,31-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
Squad Total,,,26.6,9,99,810.0,9.0,13.0,11.0,24.0,12.0,1.0,1.0,27.0,0.0,8.9,8.3,7.4,15.7,144.0,279.0,277.0,1.44,1.22,2.67,1.33,2.56,0.99,0.83,1.82,0.92,1.74,,Leicester-City
Opponent Total,,,26.7,9,99,810.0,9.0,16.0,11.0,27.0,15.0,1.0,1.0,21.0,1.0,18.3,17.5,12.7,30.2,183.0,449.0,443.0,1.78,1.22,3.0,1.67,2.89,2.03,1.42,3.45,1.94,3.36,,Leicester-City
